case,es_type,paper,study_ID,sei,mu_self_inclusive,mu_leave_one_out,power_self,power_loo,type_M_self,type_M_loo,type_S_self,type_S_loo
MA14_02.csv,SMD,MA14,"Frost, Shutler & Hillier",0.18642976476786696,-0.23607219737444507,-0.24461309383929977,0.24456719560353635,0.2590678749892471,2.015,1.949,0.002564256144164303,0.002060623061995355
MA14_02.csv,SMD,MA14,"Frost, Shutler & Hillier",0.1851056324621802,-0.23607219737444507,-0.24461309383929977,0.2473974693480312,0.2620952035147962,2.002,1.948,0.002455850745743775,0.001970231097184074
MA14_02.csv,SMD,MA14,Gonalons & Farina,0.26228768545774134,-0.23607219737444507,-0.21162674985339713,0.14671011791174138,0.12726210159340146,2.734,3.057,0.01443736421206906,0.022240356529365027
MA14_02.csv,SMD,MA14,Gonalons & Farina,0.2548629859068076,-0.23607219737444507,-0.21162674985339713,0.15258926568864362,0.1319533146842662,2.679,2.965,0.012775502865401855,0.01995256367333959
MA14_02.csv,SMD,MA14,Gonalons & Farina,0.2288165517472142,-0.23607219737444507,-0.21162674985339713,0.17802503892088828,0.15227178897044436,2.421,2.664,0.007792524422429401,0.012859035644018258
MA14_02.csv,SMD,MA14,Gonalons & Farina,0.23466257991883788,-0.23607219737444507,-0.21162674985339713,0.17156135241643278,0.14710437308076274,2.479,2.739,0.008793616772244646,0.014317894834026148
MA14_02.csv,SMD,MA14,Gonalons & Farina,0.2661554187759286,-0.23607219737444507,-0.21162674985339713,0.14384429927712894,0.12497584005745599,2.797,3.08,0.015343793911310114,0.023475028091027455
MA14_02.csv,SMD,MA14,Gonalons & Farina,0.2710014961659692,-0.23607219737444507,-0.21162674985339713,0.14042880605536956,0.12225142004280554,2.819,3.134,0.016517958454964617,0.02506175848516298
MA14_02.csv,SMD,MA14,Alkassab & Kirchner,0.21829270369557766,-0.23607219737444507,-0.24461740021600129,0.19100922772225304,0.2016638075052909,2.32,2.244,0.0061638758837121175,0.005122719361412073
MA14_02.csv,SMD,MA14,Alkassab & Kirchner,0.2343261793193628,-0.23607219737444507,-0.24461740021600129,0.17192007554895838,0.18115427403953588,2.463,2.397,0.00873414860786943,0.007357220477887408
MA14_02.csv,SMD,MA14,Alkassab & Kirchner,0.22111208191136963,-0.23607219737444507,-0.24461740021600129,0.18734704106188904,0.19773072228301525,2.358,2.276,0.006578320803326757,0.005480894195651847
MA14_02.csv,SMD,MA14,Alkassab & Kirchner,0.237608849925688,-0.23607219737444507,-0.24461740021600129,0.16848522413720568,0.17746181419368656,2.485,2.41,0.009324136122744785,0.007874113648236739
MA14_02.csv,SMD,MA14,Alkassab & Kirchner,0.22873603139780121,-0.23607219737444507,-0.24461740021600129,0.17811757971099762,0.18781510008920166,2.42,2.334,0.007779215970640233,0.006523545976503175
MA14_02.csv,SMD,MA14,Alkassab & Kirchner,0.24919003864539055,-0.23607219737444507,-0.24461740021600129,0.15744690830606822,0.16559205980187808,2.614,2.527,0.011576526587294854,0.00985876555673897
