paper_left_out,n_models_dropped,n_rows_dropped,level,metric,scenario_label,model_median,full,abs_change,pct_change
MA05,3,37,meta-analysis,type_M,uncorrected,1.1053433970773872,1.108706281623009,-0.003362884545621947,-0.3033160902361942
MA20,1,29,meta-analysis,type_M,uncorrected,1.1055637382871837,1.108706281623009,-0.0031425433358254207,-0.2834423677319786
MA13,3,94,meta-analysis,type_M,uncorrected,1.105625180202685,1.108706281623009,-0.0030811014203240283,-0.2779006010332763
MA06,2,46,meta-analysis,type_M,uncorrected,1.1057175427295562,1.108706281623009,-0.002988738893452858,-0.269569943184389
MA24,1,139,meta-analysis,type_M,uncorrected,1.111494159630654,1.108706281623009,0.002787878007644906,0.25145325266524576
MA47,2,103,meta-analysis,type_M,uncorrected,1.1061274557985386,1.108706281623009,-0.002578825824470554,-0.2325977463296658
MA21,1,11,meta-analysis,type_M,uncorrected,1.1064343133603656,1.108706281623009,-0.002271968262643531,-0.20492066296563527
MA43,1,13,meta-analysis,type_M,uncorrected,1.106609144232749,1.108706281623009,-0.002097137390260073,-0.189151755069894
MA12,1,70,meta-analysis,type_M,uncorrected,1.1098751987606164,1.108706281623009,0.0011689171376072505,0.10543073102247114
MA01,3,52,meta-analysis,type_M,uncorrected,1.1097570269376964,1.108706281623009,0.0010507453146872958,0.0947721982010652
MA25,1,43,meta-analysis,type_M,uncorrected,1.1095367458080083,1.108706281623009,8.304641849992134e-4,0.07490389463506997
MA45,2,39,meta-analysis,type_M,uncorrected,1.109493522908136,1.108706281623009,7.872412851268606e-4,0.07100539594440125
MA18,1,23,meta-analysis,type_M,uncorrected,1.1091711299158662,1.108706281623009,4.648482928570896e-4,0.041927091111682024
MA32,1,13,meta-analysis,type_M,uncorrected,1.108958480113967,1.108706281623009,2.521984909578112e-4,0.022747096786401855
MA23,1,24,meta-analysis,type_M,uncorrected,1.1088500107506472,1.108706281623009,1.4372912763804813e-4,0.012963679382038684
MA10,1,32,meta-analysis,type_M,uncorrected,1.1086710983150887,1.108706281623009,-3.518330792040558e-5,-0.0031733659765054156
MA26,1,459,meta-analysis,type_S,corrected,0.0047552915962028215,0.012225245985474795,-0.007469954389271973,-61.1026919061364
MA09,1,1297,meta-analysis,type_S,corrected,0.01670486973758937,0.012225245985474795,0.004479623752114574,36.642401776102986
MA31,1,734,meta-analysis,type_S,corrected,0.014462856482171979,0.012225245985474795,0.0022376104966971844,18.30319405724645
MA34,1,555,meta-analysis,type_S,corrected,0.013842973685359292,0.012225245985474795,0.001617727699884497,13.232680158800658
MA08,1,531,meta-analysis,type_S,corrected,0.013766794695878819,0.012225245985474795,0.001541548710404024,12.609551678842191
MA39,2,52,meta-analysis,type_S,corrected,0.011389127932368848,0.012225245985474795,-8.36118053105947e-4,-6.839273860823458
MA47,2,103,meta-analysis,type_S,corrected,0.011395569013297704,0.012225245985474795,-8.296769721770902e-4,-6.786587142400702
MA14,2,271,meta-analysis,type_S,corrected,0.012966887844426261,0.012225245985474795,7.416418589514667e-4,6.066478006517295
MA22,3,276,meta-analysis,type_S,corrected,0.012800637596150029,0.012225245985474795,5.753916106752341e-4,4.706585138318498
MA28,2,168,meta-analysis,type_S,corrected,0.01267075739484437,0.012225245985474795,4.4551140936957556e-4,3.644191780671746
MA24,1,139,meta-analysis,type_S,corrected,0.012594393348999443,0.012225245985474795,3.691473635246481e-4,3.0195495776792036
MA06,2,46,meta-analysis,type_S,corrected,0.01193901504233661,0.012225245985474795,-2.8623094313818404e-4,-2.34131029738186
MA20,1,29,meta-analysis,type_S,corrected,0.012025833086755894,0.012225245985474795,-1.994128987189009e-4,-1.6311565342393086
MA12,1,70,meta-analysis,type_S,corrected,0.01240865668299724,0.012225245985474795,1.834106975224445e-4,1.5002618167385906
MA10,1,32,meta-analysis,type_S,corrected,0.012058126594863959,0.012225245985474795,-1.6711939061083564e-4,-1.367002273896134
MA15,4,36,meta-analysis,type_S,corrected,0.012064341239319203,0.012225245985474795,-1.6090474615559208e-4,-1.316167759297182
MA01,3,52,meta-analysis,type_S,corrected,0.012096112453946019,0.012225245985474795,-1.2913353152877588e-4,-1.0562857523047309
MA23,1,24,meta-analysis,type_S,corrected,0.012108692329292257,0.012225245985474795,-1.1655365618253727e-4,-0.9533849570063313
MA45,2,39,meta-analysis,type_S,corrected,0.01232541056907386,0.012225245985474795,1.0016458359906472e-4,0.8193257110578722
MA17,1,66,meta-analysis,type_S,corrected,0.01232350483104392,0.012225245985474795,9.825884556912551e-5,0.8037371655823522
MA13,3,94,meta-analysis,type_S,corrected,0.012142349081041108,0.012225245985474795,-8.289690443368664e-5,-0.6780796438139447
MA43,1,13,meta-analysis,type_S,corrected,0.012153767569255639,0.012225245985474795,-7.147841621915618e-5,-0.5846787565999212
MA25,1,43,meta-analysis,type_S,corrected,0.012295082826685254,0.012225245985474795,6.983684121045913e-5,0.5712510103554225
MA18,1,23,meta-analysis,type_S,corrected,0.012284914346117767,0.012225245985474795,5.966836064297265e-5,0.4880749288306063
MA05,3,37,meta-analysis,type_S,corrected,0.0122706973519381,0.012225245985474795,4.545136646330605e-5,0.37178283788570354
MA32,1,13,meta-analysis,type_S,corrected,0.012258901370608331,0.012225245985474795,3.3655385133536664e-5,0.27529413455993357
MA21,1,11,meta-analysis,type_S,corrected,0.012200334719854905,0.012225245985474795,-2.4911265619889655e-5,-0.20376903376412292
MA41,4,527,meta-analysis,type_S,corrected,0.01220291086671501,0.012225245985474795,-2.2335118759785055e-5,-0.18269668181991605
MA39,2,52,meta-analysis,type_S,uncorrected,3.6989004502893663e-4,5.830502574538377e-4,-2.1316021242490102e-4,-36.55949203345953
MA09,1,1297,meta-analysis,type_S,uncorrected,7.558043763133751e-4,5.830502574538377e-4,1.7275411885953745e-4,29.62937013593807
MA15,4,36,meta-analysis,type_S,uncorrected,4.6082780869062187e-4,5.830502574538377e-4,-1.2222244876321578e-4,-20.96259236672966
MA22,3,276,meta-analysis,type_S,uncorrected,4.90957016952509e-4,5.830502574538377e-4,-9.209324050132861e-5,-15.795077581047112
MA31,1,734,meta-analysis,type_S,uncorrected,6.696750038031017e-4,5.830502574538377e-4,8.662474634926406e-5,14.857166297730773
MA34,1,555,meta-analysis,type_S,uncorrected,6.462598106970092e-4,5.830502574538377e-4,6.32095532431716e-5,10.841184346475675
MA08,1,531,meta-analysis,type_S,uncorrected,6.432442454691115e-4,5.830502574538377e-4,6.0193988015273814e-5,10.323979321806508
MA26,1,459,meta-analysis,type_S,uncorrected,6.343638235141447e-4,5.830502574538377e-4,5.1313566060307014e-5,8.80088215454904
MA41,4,527,meta-analysis,type_S,uncorrected,6.295152036235978e-4,5.830502574538377e-4,4.646494616976013e-5,7.969286622506799
MA21,1,11,meta-analysis,type_S,uncorrected,5.475258070292525e-4,5.830502574538377e-4,-3.55244504245851e-5,-6.092862488341789
MA05,3,37,meta-analysis,type_S,uncorrected,5.520352126693953e-4,5.830502574538377e-4,-3.1015044784442336e-5,-5.319446203468647
