case,es_type,study_ID,sei,power_base,power_opt,type_M_base,type_M_opt,type_S_base,type_S_opt,power_change_pp
MA28_01.csv,SMD,Ayabe_etal_2018,0.4743416490252569,0.3166562892646444,0.4459563195112194,1.754,1.475,9.116019239921576e-4,1.7313582640674874e-4,12.930003024657498
MA28_01.csv,SMD,Boitard_etal_2014,0.38858718455450897,0.44014457262555196,0.6050562522468109,1.486,1.285,1.8610439699717098e-4,2.3425820599166546e-5,16.491167962125896
MA28_01.csv,SMD,Boitard_etal_2014,0.382099463490856,0.4522773423560347,0.6195326039221444,1.47,1.268,1.600701150568956e-4,1.935687637480616e-5,16.72552615661097
MA28_01.csv,SMD,Che_etal_2018,0.5059644256269407,0.2845705809825013,0.40138697069731233,1.853,1.561,0.001422876274045094,3.023113583827806e-4,11.681638971481101
MA28_01.csv,SMD,Denver_etal_2018,0.39496835316262996,0.4286529034910528,0.5911455795849544,1.52,1.3,2.1474459336906314e-4,2.807485690263719e-5,16.24926760939016
MA28_01.csv,SMD,Denver_etal_2018,0.39496835316262996,0.4286529034910528,0.5911455795849544,1.519,1.29,2.1474459336906314e-4,2.807485690263719e-5,16.24926760939016
MA28_01.csv,SMD,Denver_etal_2018,0.39496835316262996,0.4286529034910528,0.5911455795849544,1.516,1.3,2.1474459336906314e-4,2.807485690263719e-5,16.24926760939016
MA28_01.csv,SMD,Gergerlioglu_etal_2016,0.5856620185738529,0.22453801581815191,0.31492818791060917,2.103,1.766,0.0035091117524772312,9.332661200999372e-4,9.039017209245726
MA28_01.csv,SMD,Hargrave_etal_2015,0.4301162633521313,0.37256773576715785,0.5205544584814611,1.626,1.381,4.362862639049776e-4,6.863493582611023e-5,14.798672271430323
MA28_01.csv,SMD,Hargrave_etal_2015,0.4301162633521313,0.37256773576715785,0.5205544584814611,1.623,1.383,4.362862639049776e-4,6.863493582611023e-5,14.798672271430323
MA28_01.csv,SMD,Jamshed_etal_2014,0.5779273310719956,0.22932781547184777,0.3219602195214274,2.088,1.746,0.0032510915904868953,8.484640666619987e-4,9.263240404957962
MA28_01.csv,SMD,Jurdak_etal_2008,0.42778499272414877,0.37593726409663486,0.52491874942832,1.626,1.374,4.178191851006623e-4,6.499923074997478e-5,14.89814853316851
MA28_01.csv,SMD,Jurdak_etal_2008,0.4289522117905443,0.3742444043626506,0.5227280410935911,1.626,1.379,4.26991604658705e-4,6.68000909347421e-5,14.848363673094045
MA28_01.csv,SMD,Liang_etal_2015,0.5059644256269407,0.2845705809825013,0.40138697069731233,1.848,1.563,0.001422876274045094,3.023113583827806e-4,11.681638971481101
MA28_01.csv,SMD,Magnusson_etal_2015,0.5347896782848375,0.259862391603475,0.36625997941469546,1.952,1.634,0.002036454662835547,4.73217929507167e-4,10.639758781122044
MA28_01.csv,SMD,Magnusson_etal_2015,0.5385164807134504,0.256941384710352,0.36206339685958466,1.959,1.639,0.002126920263135129,4.996163968765653e-4,10.512201214923266
MA28_01.csv,SMD,Magnusson_etal_2015,0.5549774770204643,0.24471160475214315,0.344396493524017,2.01,1.69,0.00255859463145078,6.29258302511394e-4,9.968488877187387
MA28_01.csv,SMD,Magnusson_etal_2015,0.5531726674375732,0.24600111340835984,0.34626652129247626,2.011,1.676,0.002508667074148229,6.139688072510144e-4,10.026540788411642
MA28_01.csv,SMD,Magnusson_etal_2015,0.5422176684690383,0.25409761059269953,0.3579691443858929,1.967,1.652,0.0022193873243509838,5.268854605795184e-4,10.387153379319336
MA28_01.csv,SMD,Magnusson_etal_2015,0.5431390245600107,0.2533983884734674,0.3569611622609803,1.975,1.661,0.0022428153359357623,5.338394067601056e-4,10.356277378751289
MA28_01.csv,SMD,Magnusson_etal_2015,0.6426507605223851,0.19436478863045537,0.27016254886943736,2.308,1.907,0.00581106024659541,0.0017504022066117445,7.5797760238982
MA28_01.csv,SMD,Mirzaei_etal_2018,0.5039841267341661,0.2864164814611373,0.40398382757830265,1.859,1.556,0.0013860993187124137,2.925701562129212e-4,11.756734611716535
