part,level,assumed_effect,weighting,metric,n_unit,summary_estimate,ci,n_constrained_limits,raw_median_iqr,offset_note
B. Sensitivity to the assumed effect (primary-study level),SMD,optimistic (95% CI limit farther from zero),-,Statistical power,2835,0.2773,"[0.2638, 0.2915]",0,"0.1869 [0.1322, 0.3705]",
B. Sensitivity to the assumed effect (primary-study level),SMD,optimistic (95% CI limit farther from zero),-,Type M error,2835,1.9822,"[1.9268, 2.0391]",0,"2.3500 [1.6259, 2.9535]",
B. Sensitivity to the assumed effect (primary-study level),SMD,optimistic (95% CI limit farther from zero),-,Type S error,2835,0.0091,"[0.0082, 0.0099]",0,"0.0066 [0.00045, 0.0198]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),Zr,optimistic (95% CI limit farther from zero),-,Statistical power,1303,0.3476,"[0.3138, 0.3850]",0,"0.3610 [0.2126, 0.5855]",
B. Sensitivity to the assumed effect (primary-study level),Zr,optimistic (95% CI limit farther from zero),-,Type M error,1303,1.7783,"[1.6697, 1.8940]",0,"1.6469 [1.3059, 2.1785]",
B. Sensitivity to the assumed effect (primary-study level),Zr,optimistic (95% CI limit farther from zero),-,Type S error,1303,0.0075,"[0.0056, 0.0096]",0,"0.00051 [3e-05, 0.0043]",summary sensitive to the 0.025 offset
C. Externally specified assumed effects (meta-analysis level),SMD,small (d = 0.2),By effect-size count,Statistical power,32,0.6757,"[0.5174, 0.8824]",0,"0.2121 [0.1002, 0.4735]",
C. Externally specified assumed effects (meta-analysis level),SMD,small (d = 0.2),Each meta-analysis weighted equally,Statistical power,32,0.2198,"[0.1568, 0.3082]",0,"0.2121 [0.1002, 0.4735]",
C. Externally specified assumed effects (meta-analysis level),SMD,small (d = 0.2),By effect-size count,Type M error,32,1.244,"[1.0640, 1.4544]",0,"2.1820 [1.4687, 3.7059]",
C. Externally specified assumed effects (meta-analysis level),SMD,small (d = 0.2),Each meta-analysis weighted equally,Type M error,32,2.3838,"[1.9152, 2.9670]",0,"2.1820 [1.4687, 3.7059]",
C. Externally specified assumed effects (meta-analysis level),SMD,small (d = 0.2),By effect-size count,Type S error,32,0.0031,"[0.0000*, 0.0071]",1,"0.0043 [0.00021, 0.0447]",summary sensitive to the 0.025 offset
C. Externally specified assumed effects (meta-analysis level),SMD,small (d = 0.2),Each meta-analysis weighted equally,Type S error,32,0.0196,"[0.0099, 0.0319]",0,"0.0043 [0.00021, 0.0447]",summary sensitive to the 0.025 offset
C. Externally specified assumed effects (meta-analysis level),SMD,medium (d = 0.5),By effect-size count,Statistical power,32,0.8923,"[0.7840, 1.0000*]",1,"0.8247 [0.3725, 0.9932]",
C. Externally specified assumed effects (meta-analysis level),SMD,medium (d = 0.5),Each meta-analysis weighted equally,Statistical power,32,0.5656,"[0.4470, 0.7157]",0,"0.8247 [0.3725, 0.9932]",
C. Externally specified assumed effects (meta-analysis level),SMD,medium (d = 0.5),By effect-size count,Type M error,32,1.0593,"[1.0000*, 1.1315]",1,"1.1081 [1.0043, 1.6219]",
C. Externally specified assumed effects (meta-analysis level),SMD,medium (d = 0.5),Each meta-analysis weighted equally,Type M error,32,1.3375,"[1.1824, 1.5129]",0,"1.1081 [1.0043, 1.6219]",
C. Externally specified assumed effects (meta-analysis level),SMD,medium (d = 0.5),By effect-size count,Type S error,32,0.00024,"[0.0000*, 0.00083]",1,"7.4e-07 [1.2e-10, 0.00044]",summary sensitive to the 0.025 offset
